企业名称,工作地址,招聘主页,经纬度
广州银行股份有限公司信用卡中心,广州天河区天河城天河南二路24号广州银行,https://www.lagou.com/jobs/3076623.html,"113.33420089110149,23.13713951398517"
广州银行股份有限公司,广州越秀区水荫广州大道北195号新达城广场,https://www.lagou.com/jobs/4837502.html,"113.32079726381185,23.146569161255528"
爱多特（广东）网络技术有限公司,广州越秀区广州大道富力新天地中心45F,https://www.lagou.com/jobs/4912271.html,"113.32103170088887,23.132817365173523"
广州卡宝宝互联网金融信息服务股份有限公司,广州萝岗区广州市萝岗区科学大道162号创意大厦B1栋4楼,https://www.lagou.com/jobs/2983700.html,"113.45650184454807,23.169274876272556"
广州橙新科技有限公司,广州天河区棠下科韵路方圆E时光,https://www.lagou.com/jobs/4336898.html,"113.37858509106314,23.132456654183198"
广州青鹿教育科技有限公司,广州天河区科学城科汇金谷,https://www.lagou.com/jobs/4524434.html,"113.44182679067397,23.17311652254065"
广州久邦世纪科技有限公司,广州越秀区大新中山三路33号中华国际中心A座16、17楼,https://www.lagou.com/jobs/4464126.html,"113.28826188150603,23.131884371130646"
深圳市紫川软件有限公司,广州天河区员村联通新时空大厦,https://www.lagou.com/jobs/4582099.html,"113.36440740020396,23.120595600030125"
上海新炬网络技术有限公司,广州天河区龙口五山街道天河东路346号天诚广场404,https://www.lagou.com/jobs/4132725.html,"113.34730168882412,23.14838225391405"
氪金信息科技（天津）有限公司,广州天河区车陂广州市天河区中山大道中379号联合社区东区6栋楼5层65176518室,https://www.lagou.com/jobs/4567632.html,"113.40949136219155,23.131251201075678"
信必优(深圳)信息技术有限公司,广州天河区天河城太古汇,https://www.lagou.com/jobs/3541829.html,"113.33912451887123,23.14007345064082"
广东省电信规划设计院有限公司,广州天河区华景新城中山大道华景路1号南方通信大厦,https://www.lagou.com/jobs/4504447.html,"113.36393627309974,23.14086420050755"
广州宜赚网络科技有限公司,广州越秀区五羊新城五羊邨地铁站,https://www.lagou.com/jobs/4739952.html,"113.3188595397766,23.124753019446242"
广州玖维信息科技有限公司,广州海珠区新港艺苑路,https://www.lagou.com/jobs/4184915.html,"113.30449276009915,23.09748779840653"
名创优品股份有限公司,广州荔湾区和业广场,https://www.lagou.com/jobs/4911305.html,"113.25382836528536,23.12788777450049"
广州银行股份有限公司信用卡中心,广州天河区天河城天河南二路广州银行二楼,https://www.lagou.com/jobs/4694006.html,"113.33420089110149,23.13713951398517"
武汉佰钧成技术有限责任公司,广州天河区科韵路园区建中路60号科迅大厦,https://www.lagou.com/jobs/4224830.html,"113.37689148604164,23.12932223793473"
美的集团股份有限公司,广州番禺区广州南站美的总部大楼,https://www.lagou.com/jobs/4503644.html,"113.3039306005112,23.050723696301475"
武汉然诺管理咨询有限公司,广州天河区员村科韵路软件园,https://www.lagou.com/jobs/4881668.html,"113.36440740020396,23.120595600030125"
蓝月亮（中国）有限公司,广州黄埔区云埔工业区云埔一路14号颜莊,https://www.lagou.com/jobs/3526825.html,"113.54237970215489,23.151475928947125"
广州游瑞信息科技有限公司,广州天河区棠下棠下路自编119号金悦大厦3楼,https://www.lagou.com/jobs/4895938.html,"113.38221318622004,23.13793955158529"
